polygon group,polygon id,vertice id,x,y
plate_0,0,0,142.5,-64.0
plate_0,0,1,144.5,-64.0
plate_0,0,2,144.5,-55.75
plate_0,0,3,142.5,-55.75
plate_0,1,0,142.5,-51.75
plate_0,1,1,144.5,-51.75
plate_0,1,2,144.5,-40.75
plate_0,1,3,142.5,-40.75
plate_0,2,0,142.5,-36.75
plate_0,2,1,144.5,-36.75
plate_0,2,2,144.5,-25.75
plate_0,2,3,142.5,-25.75
plate_0,3,0,142.5,-21.75
plate_0,3,1,144.5,-21.75
plate_0,3,2,144.5,-10.75
plate_0,3,3,142.5,-10.75
plate_0,4,0,142.5,-6.75
plate_0,4,1,144.5,-6.75
plate_0,4,2,144.5,4.25
plate_0,4,3,142.5,4.25
plate_0,5,0,142.5,8.25
plate_0,5,1,144.5,8.25
plate_0,5,2,144.5,19.25
plate_0,5,3,142.5,19.25
plate_0,6,0,142.5,23.25
plate_0,6,1,144.5,23.25
plate_0,6,2,144.5,34.25
plate_0,6,3,142.5,34.25
plate_0,7,0,142.5,38.25
plate_0,7,1,144.5,38.25
plate_0,7,2,144.5,49.25
plate_0,7,3,142.5,49.25
plate_0,8,0,142.5,53.25
plate_0,8,1,144.5,53.25
plate_0,8,2,144.5,64.0
plate_0,8,3,142.5,64.0
plate_0,9,0,142.5,64.0
plate_0,9,1,144.5,64.0
plate_0,9,2,127.67559814453125,93.14070129394531
plate_0,9,3,126.67559814453125,91.40859985351562
crystals_0,0,0,165.0,42.25
crystals_0,0,1,168.0,42.25
crystals_0,0,2,168.0,45.25
crystals_0,0,3,165.0,45.25
crystals_0,1,0,165.0,27.25
crystals_0,1,1,168.0,27.25
crystals_0,1,2,168.0,30.25
crystals_0,1,3,165.0,30.25
crystals_0,2,0,165.0,12.25
crystals_0,2,1,168.0,12.25
crystals_0,2,2,168.0,15.25
crystals_0,2,3,165.0,15.25
crystals_0,3,0,161.25,45.25
crystals_0,3,1,164.25,45.25
crystals_0,3,2,164.25,48.25
crystals_0,3,3,161.25,48.25
crystals_0,4,0,161.25,54.25
crystals_0,4,1,164.25,54.25
crystals_0,4,2,164.25,57.25
crystals_0,4,3,161.25,57.25
crystals_0,5,0,165.0,46.75
crystals_0,5,1,168.0,46.75
crystals_0,5,2,168.0,49.75
crystals_0,5,3,165.0,49.75
crystals_0,6,0,165.0,52.75
crystals_0,6,1,168.0,52.75
crystals_0,6,2,168.0,55.75
crystals_0,6,3,165.0,55.75
crystals_0,7,0,168.75,47.5
crystals_0,7,1,171.75,47.5
crystals_0,7,2,171.75,50.5
crystals_0,7,3,168.75,50.5
crystals_0,8,0,168.75,52.0
crystals_0,8,1,171.75,52.0
crystals_0,8,2,171.75,55.0
crystals_0,8,3,168.75,55.0
crystals_0,9,0,172.5,49.75
crystals_0,9,1,175.5,49.75
crystals_0,9,2,175.5,52.75
crystals_0,9,3,172.5,52.75
crystals_0,10,0,161.25,-59.75
crystals_0,10,1,164.25,-59.75
crystals_0,10,2,164.25,-56.75
crystals_0,10,3,161.25,-56.75
crystals_0,11,0,161.25,-50.75
crystals_0,11,1,164.25,-50.75
crystals_0,11,2,164.25,-47.75
crystals_0,11,3,161.25,-47.75
crystals_0,12,0,165.0,-58.25
crystals_0,12,1,168.0,-58.25
crystals_0,12,2,168.0,-55.25
crystals_0,12,3,165.0,-55.25
crystals_0,13,0,165.0,-52.25
crystals_0,13,1,168.0,-52.25
crystals_0,13,2,168.0,-49.25
crystals_0,13,3,165.0,-49.25
crystals_0,14,0,168.75,-57.5
crystals_0,14,1,171.75,-57.5
crystals_0,14,2,171.75,-54.5
crystals_0,14,3,168.75,-54.5
crystals_0,15,0,168.75,-53.0
crystals_0,15,1,171.75,-53.0
crystals_0,15,2,171.75,-50.0
crystals_0,15,3,168.75,-50.0
crystals_0,16,0,172.5,-55.25
crystals_0,16,1,175.5,-55.25
crystals_0,16,2,175.5,-52.25
crystals_0,16,3,172.5,-52.25
crystals_0,17,0,161.25,-44.75
crystals_0,17,1,164.25,-44.75
crystals_0,17,2,164.25,-41.75
crystals_0,17,3,161.25,-41.75
crystals_0,18,0,161.25,-35.75
crystals_0,18,1,164.25,-35.75
crystals_0,18,2,164.25,-32.75
crystals_0,18,3,161.25,-32.75
crystals_0,19,0,165.0,-43.25
crystals_0,19,1,168.0,-43.25
crystals_0,19,2,168.0,-40.25
crystals_0,19,3,165.0,-40.25
crystals_0,20,0,165.0,-37.25
crystals_0,20,1,168.0,-37.25
crystals_0,20,2,168.0,-34.25
crystals_0,20,3,165.0,-34.25
crystals_0,21,0,165.0,-32.75
crystals_0,21,1,168.0,-32.75
crystals_0,21,2,168.0,-29.75
crystals_0,21,3,165.0,-29.75
crystals_0,22,0,165.0,-47.75
crystals_0,22,1,168.0,-47.75
crystals_0,22,2,168.0,-44.75
crystals_0,22,3,165.0,-44.75
crystals_0,23,0,168.75,-42.5
crystals_0,23,1,171.75,-42.5
crystals_0,23,2,171.75,-39.5
crystals_0,23,3,168.75,-39.5
crystals_0,24,0,168.75,-38.0
crystals_0,24,1,171.75,-38.0
crystals_0,24,2,171.75,-35.0
crystals_0,24,3,168.75,-35.0
crystals_0,25,0,172.5,-40.25
crystals_0,25,1,175.5,-40.25
crystals_0,25,2,175.5,-37.25
crystals_0,25,3,172.5,-37.25
crystals_0,26,0,161.25,-29.75
crystals_0,26,1,164.25,-29.75
crystals_0,26,2,164.25,-26.75
crystals_0,26,3,161.25,-26.75
crystals_0,27,0,161.25,-20.75
crystals_0,27,1,164.25,-20.75
crystals_0,27,2,164.25,-17.75
crystals_0,27,3,161.25,-17.75
crystals_0,28,0,165.0,-28.25
crystals_0,28,1,168.0,-28.25
crystals_0,28,2,168.0,-25.25
crystals_0,28,3,165.0,-25.25
crystals_0,29,0,165.0,-22.25
crystals_0,29,1,168.0,-22.25
crystals_0,29,2,168.0,-19.25
crystals_0,29,3,165.0,-19.25
crystals_0,30,0,165.0,-17.75
crystals_0,30,1,168.0,-17.75
crystals_0,30,2,168.0,-14.75
crystals_0,30,3,165.0,-14.75
crystals_0,31,0,165.0,-2.75
crystals_0,31,1,168.0,-2.75
crystals_0,31,2,168.0,0.25
crystals_0,31,3,165.0,0.25
crystals_0,32,0,168.75,-27.5
crystals_0,32,1,171.75,-27.5
crystals_0,32,2,171.75,-24.5
crystals_0,32,3,168.75,-24.5
crystals_0,33,0,168.75,-23.0
crystals_0,33,1,171.75,-23.0
crystals_0,33,2,171.75,-20.0
crystals_0,33,3,168.75,-20.0
crystals_0,34,0,172.5,-25.25
crystals_0,34,1,175.5,-25.25
crystals_0,34,2,175.5,-22.25
crystals_0,34,3,172.5,-22.25
crystals_0,35,0,161.25,-14.75
crystals_0,35,1,164.25,-14.75
crystals_0,35,2,164.25,-11.75
crystals_0,35,3,161.25,-11.75
crystals_0,36,0,161.25,-5.75
crystals_0,36,1,164.25,-5.75
crystals_0,36,2,164.25,-2.75
crystals_0,36,3,161.25,-2.75
crystals_0,37,0,165.0,-13.25
crystals_0,37,1,168.0,-13.25
crystals_0,37,2,168.0,-10.25
crystals_0,37,3,165.0,-10.25
crystals_0,38,0,165.0,-7.25
crystals_0,38,1,168.0,-7.25
crystals_0,38,2,168.0,-4.25
crystals_0,38,3,165.0,-4.25
crystals_0,39,0,168.75,-12.5
crystals_0,39,1,171.75,-12.5
crystals_0,39,2,171.75,-9.5
crystals_0,39,3,168.75,-9.5
crystals_0,40,0,168.75,-8.0
crystals_0,40,1,171.75,-8.0
crystals_0,40,2,171.75,-5.0
crystals_0,40,3,168.75,-5.0
crystals_0,41,0,172.5,-10.25
crystals_0,41,1,175.5,-10.25
crystals_0,41,2,175.5,-7.25
crystals_0,41,3,172.5,-7.25
crystals_0,42,0,161.25,0.25
crystals_0,42,1,164.25,0.25
crystals_0,42,2,164.25,3.25
crystals_0,42,3,161.25,3.25
crystals_0,43,0,161.25,9.25
crystals_0,43,1,164.25,9.25
crystals_0,43,2,164.25,12.25
crystals_0,43,3,161.25,12.25
crystals_0,44,0,165.0,1.75
crystals_0,44,1,168.0,1.75
